,game_id,player_id,position,player,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,rush_att,rush_yds,rush_td,rush_long,targets,rec,rec_yds,rec_td,rec_long,fumbles_lost,rush_scrambles,designed_rush_att,comb_pass_rush_play,comb_pass_play,comb_rush_play,Team_abbrev,Opponent_abbrev,two_point_conv,total_ret_td,offensive_fumble_recovery_td,pass_yds_bonus,rush_yds_bonus,rec_yds_bonus,Total_DKP,Off_DKP,Total_FDP,Off_FDP,Total_SDP,Off_SDP,pass_target_yds,pass_poor_throws,pass_blitzed,pass_hurried,rush_yds_before_contact,rush_yac,rush_broken_tackles,rec_air_yds,rec_yac,rec_drops,offense,off_pct,vis_team,home_team,vis_score,home_score,OT,game_date,cowboys_score,cowboys_win,point_difference
14679,202110100dal,PresDa01,QB,Dak Prescott,DAL,22,32,302,3,1,2,10,49,116.9,2,6,0,6,0,0,0,0,0,1,1,1,36,35,1,DAL,NYG,0,0,0,1,0,0,25.68,25.68,20.68,20.68,23.68,23.68,267,4,14,2,6,0,0,0,0,0,78,100,NYG,DAL,20,44,FALSE,10/10/2021,44,win,24
15137,202110170nwe,PresDa01,QB,Dak Prescott,DAL,36,51,445,3,1,0,0,35,108.7,3,10,0,10,0,0,0,0,0,1,1,2,54,52,2,DAL,NWE,0,0,0,1,0,0,31.8,31.8,26.8,26.8,29.8,29.8,462,7,20,4,10,0,0,0,0,0,89,100,DAL,NWE,35,29,TRUE,10/17/2021,35,win,6
15836,202110310min,RushCo00,QB,Cooper Rush,DAL,24,40,325,2,1,3,19,73,92.2,1,2,0,2,0,0,0,0,0,1,1,0,44,44,0,DAL,MIN,0,0,0,1,0,0,22.2,22.2,17.2,17.2,20.2,20.2,396,9,15,0,2,0,0,0,0,0,73,100,DAL,MIN,20,16,FALSE,10/31/2021,20,win,4
16063,202111070dal,PresDa01,QB,Dak Prescott,DAL,19,39,232,2,1,2,20,32,73.9,2,16,0,9,0,0,0,0,0,0,2,0,43,43,0,DAL,DEN,1,0,0,0,0,0,19.88,19.88,18.88,18.88,19.88,19.88,451,9,8,8,16,0,0,0,0,0,62,100,DEN,DAL,30,16,FALSE,11/7/2021,16,lose,14
16413,202111140dal,PresDa01,QB,Dak Prescott,DAL,24,31,296,2,0,0,0,37,127.9,2,5,1,4,0,0,0,0,0,0,1,1,33,32,1,DAL,ATL,0,0,0,0,0,0,26.34,26.34,26.34,26.34,26.34,26.34,179,3,7,2,4,1,0,0,0,0,62,81,ATL,DAL,3,43,FALSE,11/14/2021,43,win,40
16832,202111210kan,PresDa01,QB,Dak Prescott,DAL,28,43,216,0,2,5,22,19,57.9,0,0,0,0,0,0,0,0,0,1,0,0,48,48,0,DAL,KAN,0,0,0,0,0,0,5.64,5.64,2.64,2.64,4.64,4.64,329,4,10,7,0,0,0,0,0,0,67,100,DAL,KAN,9,19,FALSE,11/21/2021,9,lose,10
17049,202111250dal,PresDa01,QB,Dak Prescott,DAL,32,47,375,2,0,1,2,51,106.2,1,3,0,3,0,0,0,0,0,0,1,0,49,49,0,DAL,LVR,1,0,0,1,0,0,28.3,28.3,25.3,25.3,27.3,27.3,351,11,3,3,3,0,0,0,0,0,74,100,LVR,DAL,36,33,TRUE,11/25/2021,33,lose,3
17411,202112020nor,PresDa01,QB,Dak Prescott,DAL,26,40,238,1,1,1,7,41,79,3,-3,0,-1,0,0,0,0,0,0,0,3,44,41,3,DAL,NOR,0,0,0,0,0,0,12.22,12.22,11.22,11.22,12.22,12.22,337,7,9,3,-3,0,0,0,0,0,70,100,DAL,NOR,27,17,FALSE,12/2/2021,27,win,10
18050,202112120was,PresDa01,QB,Dak Prescott,DAL,22,39,211,1,2,4,10,24,58.8,7,15,0,11,0,0,0,0,0,0,3,4,50,46,4,DAL,WAS,0,0,0,0,0,0,11.94,11.94,9.94,9.94,11.94,11.94,233,8,10,0,15,0,0,0,0,0,85,100,DAL,WAS,27,20,FALSE,12/12/2021,27,win,7
18276,202112190nyg,PresDa01,QB,Dak Prescott,DAL,28,37,217,1,0,3,14,19,98.6,2,-1,0,0,0,0,0,0,0,1,0,2,42,40,2,DAL,NYG,0,0,0,0,0,0,11.58,11.58,10.58,10.58,10.58,10.58,227,2,15,3,-1,0,0,0,0,0,71,100,DAL,NYG,21,6,FALSE,12/19/2021,21,win,15
18637,202112260dal,PresDa01,QB,Dak Prescott,DAL,28,39,330,4,0,3,11,40,131.4,4,21,0,13,0,0,0,0,0,0,2,2,46,44,2,DAL,WAS,0,0,0,1,0,0,34.3,34.3,31.3,31.3,33.3,33.3,431,7,12,3,20,1,0,0,0,0,61,84,WAS,DAL,14,56,FALSE,12/26/2021,56,win,42
18998,202201020dal,PresDa01,QB,Dak Prescott,DAL,24,38,226,3,0,1,1,26,105.8,5,20,0,12,0,0,0,0,0,1,3,2,44,42,2,DAL,ARI,1,0,0,0,0,0,24.04,24.04,23.04,23.04,23.04,23.04,186,4,17,3,8,12,0,0,0,0,64,100,ARI,DAL,25,22,FALSE,1/2/2022,22,lose,3
19307,202201080phi,PresDa01,QB,Dak Prescott,DAL,21,27,295,5,0,1,1,37,151.8,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,DAL,PHI,0,0,0,0,0,0,31.8,31.8,31.8,31.8,31.8,31.8,228,4,6,2,0,0,0,0,0,0,51,82,DAL,PHI,51,26,FALSE,1/8/2022,51,win,25
19722,202201160dal,PresDa01,QB,Dak Prescott,DAL,23,43,254,1,1,5,40,38,69.3,4,27,1,17,0,0,0,0,0,0,4,0,52,52,0,DAL,SFO,0,0,0,0,0,0,21.86,21.86,20.86,20.86,21.86,21.86,372,14,10,3,27,0,0,0,0,0,72,100,SFO,DAL,23,17,FALSE,1/16/2022,17,lose,6
